profession-capability-framework-capability-mastery-level	profession-capability-framework-capability	profession-capability-framework-mastery-level	description	start-date	end-date
10034	1058	14	Has awareness of innovation and what it involves.		
10254	1059	11	Designs, implements, administers and supports infrastructure technologies, solutions and services such as: compute, storage, networking, physical infrastructures, software, commercial off the shelf (COTS) and open source packages and solutions, virtual and cloud including PaaS, SaaS.		
10243	1059	12	Leads teams and departments in the design, implementation, administration and support of infrastructure solutions and services.		
10259	1059	13	Builds and configures, administers and supports infrastructure technologies and solutions such as: compute, storage, networking, physical infrastructure, software, commercial off the shelf (COTS) and open source packages and solutions, virtual and cloud including IaaS, PaaS, SaaS.		
10264	1059	14	Supports infrastructure solutions and services, and other computer, storage, networking, physical infrastructure, software, commercial off the shelf (COTS) and open source packages and solutions, virtual and cloud including IaaS, PaaS, SaaS.		
10141	1060	11	Architects, designs and implements infrastructure technologies, solutions and services such as: compute, storage, networking, physical infrastructures, software, commercial off the shelf (COTS) and Open Source packages and solutions, virtual and cloud including PaaS, SaaS.		
10135	1060	12	Leads teams and departments in the design, implementation, administration and support of infrastructure solutions and services.		
10145	1060	13	Builds, configures, administers and supports infrastructure technologies and solutions such as: compute, storage, networking, physical infrastructure, software, commercial off the shelf (COTS) and Open Source packages and solutions, virtual and cloud including IaaS, PaaS, SaaS.		
10474	1061	11	Able to make decisions characterised by medium levels of risk and complexity and recommend decisions as risk and complexity increase. Able to build consensus between services or independent stakeholders. Able to identify problems or issues in the team dynamic and rectify them. Engages in varying types of feedback choosing the right type at the appropriate time and ensuring the discussion and decision sticks. Able to bring people together to form a motivated team and helps create the right environment for a team to work in. Able to facilitate the best team makeup depending on the situation.		
10467	1061	12	Changes organisational structures to fixable and sustainable designs. Leads on the strategy for the whole organisation, marrying business needs with innovative analysis. Able to make and justify decisions characterised by high levels of risk, impact and complexity. Builds consensus between organisations (private or public) or highly independent and diverse stakeholders. Solves and unblocks issues between teams or departments at the highest level. Understands the psychology of the team and has strong mediation skills. Able to coach the organisation on team dynamics and conflict resolution.		
10479	1061	13	Contributes to best practice guidelines. Understands the sustainability and consequences of their decisions and is able to make decisions characterised by managed levels of risk and complexity. Capable of resolving technical disputes between wider peers and indirect stakeholders, taking into account all views and opinions.		
10485	1061	14	Conforms to agreed good practice for the team, teaching new starters and challenging substandard work by peers. Able to recommend decisions and describe the reasoning behind these. Capable of identifying and articulating technical disputes between direct peers and local stakeholders. Has an awareness of the importance of team dynamics, collaboration and understands the importance of feedback.		
10055	1062	11	Able to apply experience of multiple parts of the lifecycle. Able to recognise when it is right to move forward and when it is right to stop. Able to recognise the appropriate deliverables and the right people to meet these. Able to work with other Agile delivery operations throughout the product lifecycle. Able to plan and engage with the appropriate stakeholders at a particular stage in the project.		
10076	1062	11	Able to apply experience of multiple parts of the lifecycle. Able to recognise when it is right to move forward and when it is right to stop. Able to recognise the appropriate deliverables and the right people to meet these. Able to work with other agile delivery operations throughout the product lifecycle. Able to plan and engage with the appropriate stakeholders at a particular stage in the project.		
10051	1062	12	Able to successfully lead teams through the full product lifecycle. Able to identify which tools and techniques should be used at each stage. Able to develop sustainable support models. Able to identify and deal with potential risks across or between all phases of the lifecycle. Able to coach others. Able to contribute to the assessment of other teams, providing guidance and support as they move through the lifecycle phases.		
10063	1062	13	Recognises when to move from one stage of a product lifecycle to another. Ensures the team is working towards the appropriate service standards for the relevant phase. Able to manage the delivery products or services at different phases.		
10071	1062	14	Understands how the needs of the team and of the product, vary across the phases of the lifecycle.		
10083	1063	12	Able to successfully lead teams through the full product lifecycle. Able to identify which tools and techniques should be used at each stage. Able to develop sustainable support models. Able to identify and deal with potential risks across or between all phases of the lifecycle. Able to coach others. Able to contribute to the assessment of other teams, providing guidance and support as they move through the lifecycle phases.		
10093	1063	13	Recognises when to move from one stage of a product lifecycle to another. Ensures the team is working towards the appropriate service standards for the relevant phase. Able to manage the delivery products or services at different phases.		
10101	1063	14	Understands how the needs of the team and of the product, vary across the phases of the lifecycle.		
10058	1064	11	Able to facilitate the delivery flow of a team, managing the pace and tempo. Able to actively address internal and external risks, issues and dependencies including where ownership exists outside the team.		
10045	1064	12	Able to optimise the delivery flow of teams. Able to actively address the most complicated risks, issues and dependencies including where ownership exists outside the team or no clear ownership exists. Able to identify innovative ways to unblock issues.		
10066	1064	13	Able to actively address internal risks and issues and knows when to escalate them. Sets the team cadence and tempo, ensuring it is sustainable. Able to track, manage, escalate and communicate dependencies. Able to actively remove or minimise risks, issues or dependencies where possible. Understands how the risks, issues or dependencies impact the work of a team.		
10116	1065	11	Able to make decisions characterised by medium levels of risk and complexity and recommend decisions as risk and complexity increase. Able to build consensus between services or independent stakeholders.		
10111	1065	12	Able to make and justify decisions characterised by high levels of risk, impact and complexity. Builds consensus between organisations (private or public) or highly independent and diverse stakeholders.		
10121	1065	13	Able to make decisions characterised by managed levels of risk and complexity and recommend decisions as risk and complexity increase. Capable of resolving technical disputes between wider peers and indirect stakeholders, taking into account all views and opinions.		
10128	1065	14	Able to recommend decisions and describe the reasoning behind these. Capable of identifying and articulating technical disputes between direct peers and local stakeholders.		
10046	1066	12	Able to identify and challenge organisational processes of increasing complexity and those processes that are unnecessarily complicated. Able to add value and can coach the organisation to inspect and adapt processes. Guides teams through the implementation of a new process.		
10067	1066	13	Guides teams to focus on the output rather than the process. Helps the team to find a process that works for them. Can help teams to establish a process.		
10163	1067	11	Designs an appropriate metadata repository and presents changes to existing metadata repositories. Understands a range of tools for storing and working with metadata. Provides oversight and advice to more inexperienced members of the team.		
10152	1067	12	Understands how metadata repositories can support different areas of the business. Promotes and communicates the value of metadata repositories. Sets up robust governance processes for keeping the repositories up to date.		
10173	1067	13	Works with metadata repositories to complete complex tasks such as data and systems integration impact analysis. Maintains a repository to ensure information remains accurate and up to date.		
10019	1068	11	Makes sure that teams are using the right tools and methodologies and promotes the use of these.		
10012	1068	12	Provides the direction for teams in using the most appropriate tools and methodologies and introduces any new ones.		
10028	1068	13	Can select and support the most appropriate tool or method.		
10041	1068	14	Has an understanding of the use of methods and tools.		
10217	1069	11	Uses a modern standards approach competently and guides others in so doing.		
10199	1069	12	Strong understanding and application of the most appropriate modern standards and practices. Takes responsibility  for coaching and guiding others.		
10207	1069	12	Strong understanding and application of the most appropriate modern standards and practices. Takes responsibility for coaching and guiding others.		
10213	1069	12	Strong understanding and application of the most appropriate  modern standards and practices. Takes responsibility  for coaching and guiding others.		
10251	1069	12	Has a strong understanding and application of the most appropriate modern standards and practices. Takes responsibility for coaching and guiding others.		
10222	1069	13	Understands key principles of modern standards approach and how they apply to the work they are undertaking, and will apply under guidance.		
10263	1069	13	Understands key principles of modern standards approach and how they apply to the work they are undertaking and will apply under guidance.		
10230	1069	14	Aware of the importance of adopting a modern standards  approach.		
10268	1069	14	Aware of the importance of adopting a modern standards approach.		
10375	1070	11	Able to design and execute a wide range of non-functional testing techniques and communicate non-functional test results to both technical and non-technical stakeholders. Able to make decisions on running types of non-functional testing. Able to coach and mentor others. Able to raise defects with the business and help prioritise them based on defect severity.		
10372	1070	12	Able to advise on up-to-date non-functional testing techniques. Able to assess and peer review the work of others. Able to coach and mentor others. Able to write non-functional test approaches for major projects and provide guidance on risk approaches. Able to devise new non-functional test techniques and provide recommendations.		
10364	1070	13	Able to design and execute non-functional test cases using standard testing techniques, in instructed environments. Able to come up with different business scenarios for a feature, working with others in the team.		
10360	1070	14	Aware of non-functional testing techniques. Able to execute non-functional test scenarios and raise defects. Can run non-functional tests others have written and knows the processes to do so. Understands a range of standard non-functional testing techniques.		
10365	1070	14	Aware of functional testing techniques. Able to execute test scenarios and raise defects. Can run tests others have written and knows the processes to do so. Understands a range of standard testing techniques.		
10094	1071	11	Able to design operational processes for the running and maintenance of products or services throughout its life-cycle. Able to redesign operational processes, amend existing processes, and plan and operationalise the stages of a new product or service development. Is the escalation point for operational issues and can fix complex operational issues. Able to overcome operational constraints to deliver a successful product  or service. Works closely with operational delivery teams in DDaT.		
10077	1071	12	Keeps abreast of industry best practice and cascades ways of working. Knows how to make operations efficient. Is the escalation point for major operational issues and champions operational management across the community. Works closely with leaders of operational delivery teams in DDaT.		
10102	1071	14	Understands the operational processes of running and maintaining product or service.		
10244	1072	11	Takes accountability of issues that occur and is proactive in searching for potential problems. Achieves excellent user outcomes.		
10255	1072	13	Owns an issue until a new owner has been found or the problem has been mitigated and / or resolved.		
10285	1072	13	Owns an issue until a new owner has been found or the problem has been mitigated or resolved.		
10265	1072	14	Aware of the problem resolution processes and passes the problem to their team.		
10436	1073	11	Leads on the development of performance measurement frameworks including key performance indicators (KPIs). Has a deep understanding of business goals and is able to turn these into tangible performance measures.		
10426	1073	12	Oversees the development and consistency of performance measurement frameworks across multiple projects and ensures these frameworks are aligned to business needs and strategy.		
10443	1073	13	Participates in discussions determining which performance measurements are appropriate, with guidance from more experienced colleagues. Develops experience in turning business needs and goals into performance measures.		
10449	1073	14	Aware of the importance of performance measurement and the business objectives.		
10059	1074	11	Understands the environment and is able to prioritise the most important or highest value tasks. Able to use data to inform planning. Able to manage complex internal and external dependencies. Able to provide delivery confidence. Able to remove blockers or impediments that affect the plan and is able to develop a plan for difficult situations. Ensures teams plan appropriately for their own capacity.		
10047	1074	12	Able to lead a continual planning process in a very complex environment. Able to plan beyond product delivery. Able to identify dependencies in plans across services and coordinate delivery. Coaches other teams as the central point of expertise.		
10068	1074	14	Has an awareness of the importance of planning and forecasting and the different ways to develop a plan.		
10290	1075	11	Ensures that the right actions are taken to investigate, resolve and anticipate problems. Coordinates the team to investigate problems, implement solutions and take preventative measures.		
10305	1075	13	Initiates and monitors actions to investigate patterns and trends to resolve problems, including consulting specialists where required. Determines the appropriate remedy and assists with implementation of it as well as preventative measures.		
10298	1075	14	Aware of the problem resolution processes and passes the problem to their team.		
10315	1075	14	Able to investigate problems in systems, processes and services, with an understanding of the level of a problem (e.g. strategic, tactical, operational). Can contribute to the implementation of remedies and preventative measures.		
10322	1075	14	Able to investigate problems in systems, processes and services, with an understanding of the level of a problem (for example, strategic, tactical, operational). Can contribute to the implementation of remedies and preventative measures.		
10095	1076	11	Ensures that the right actions are taken to investigate, resolve and anticipate problems. Coordinates team to investigate problems, implement solutions and preventative measures.		
10078	1076	12	Is able to anticipate problems and knows how to defend against them at the right time. Understands how the problem fits into the larger picture. Is able to articulate the problem and helps others to articulate the problem. Builds problem-solving capabilities in others.		
10103	1076	13	Initiates and monitors actions to investigate patterns and trends to resolve problems. Consults specialists where required. Determines the appropriate remedy and assists with implementation of these. Determines preventative measures.		
10168	1077	11	Ensures that the most appropriate actions are taken to resolve problems as they occur. Coordinates teams to resolve problems and implement solutions and preventative measures.		
10158	1077	12	Anticipates problems and knows how to prevent them. Understands how the problem fits into the larger picture. Articulates the problem and helps others to articulate the problem. Builds problem-solving capabilities in others.		
10178	1077	13	Responds to problems in databases, data processes, data products and services as they occur. Initiates actions, monitors services and identifies trends to resolve problems. Determines the appropriate remedy and assists with implementation of these as well as preventative measures.		
10395	1077	14	Aware of the types of problems in databases, data processes, data products and services.		
10245	1078	11	Ensures that the right actions are taken to investigate, resolve and anticipate problems. Coordinates team to investigate problems, implement solutions and preventative measures.		
10252	1078	13	Initiates and monitors actions to investigate patterns and trends to resolve problems, including consulting specialists where required. Determines the appropriate remedy and assists with implementation of these as well as preventative measures.		
10260	1078	14	Able to investigate problems in systems, processes and services, with an understanding of the level of a problem (e.g. strategic, tactical, operational). Can contribute to the implementation of remedies and preventative measures.		
10096	1079	11	Experienced in applying tools, terms and concepts in a variety of ways. Able to be flexible, consider new ways of working and adapt to change.		
10084	1079	12	Capable of starting to define and create approaches. Able to coach others. Able to implement new ways of working. Is aware of what other sectors are doing. Understands what is most important and applicable.		
10082	1079	13	Understands tools, terms and concepts used to deliver a product and how they can be adapted, and applied to different phases of delivery.		
10104	1079	14	Has awareness of tools, terms and concepts used to deliver a product.		
10383	1080	11	Uses agreed standards and tools to design, code, test, correct and document moderate to complex programs and scripts from agreed specifications and subsequent iterations. Collaborates with others to review specifications where appropriate.		
10380	1080	12	Sets local or team-based standards for programming tools and techniques and selects appropriate development methods. Advises on the application of standards and methods and ensures compliance. Takes technical responsibility for all stages and/or iterations in a software development project, providing method-specific technical advice and guidance to project stakeholders.		
10393	1080	13	Designs, codes, tests, corrects and documents simple programs or scripts under the direction of others.		
10408	1081	11	Designs, codes, tests, corrects and documents moderate to complex programmes and scripts from agreed specifications and subsequent iterations, using agreed standards and tools. Collaborates with others to review specifications where appropriate.		
10401	1081	13	Develops, codes, tests, corrects and documents simple programmes or scripts under the direction of others as part of a multi-disciplinary team.		
10422	1081	14	Understands and has a basic knowledge of how software components are developed and built.		
10208	1082	11	Collaborates with others when necessary to review specifications and uses these agreed specifications to design, code, test and document programmes or scripts of medium to high complexity, using the right standards and tools.		
10200	1082	12	Advises on the right way to apply standards and methods, ensuring compliance, and maintains technical responsibility for all the stages and iterations of a software development project. Provides technical advice to stakeholders and sets the team-based standards for programming tools and techniques.		
10223	1082	13	Designs, codes, tests, corrects and documents simple programs or scripts under the direction of others.		
10241	1082	14	Understands the process of software development and has a basic knowledge of how services are built.		
10215	1083	11	Sees prototyping as a team activity, actively soliciting prototypes and testing with others. Establishes design patterns and iterates them. Knows a variety of methods of prototyping and chooses the most appropriate ones.		
10205	1083	12	Experienced in using a variety of methods of prototyping. Shares best practice and can coach others. Looks at strategic service design end to end.		
10229	1083	13	Knows when to use a specific prototyping technique or method (for example, sketch, code, Loc2). Able to show the value of prototyping to the team.		
10233	1083	14	Knows what prototyping is and why and when to use it. Has an awareness of how to work in an open and collaborative environment (for example, pairing).		
10468	1084	11	Can create static HTML and CSS prototypes. Considers different screen sizes. Knows how to version and host a prototype.		
10471	1084	11	Can create static HTML and CSS prototypes. Considers different screen sizes. Knows how to version and host a prototype		
10497	1084	12	Can create and validate a dynamic prototype.		
10486	1084	13	Has the ability to write HTML and can add new tags.		
10493	1084	14	Has an understanding of how the internet works, can use tools and change text. Can edit existing code and ‘re-use’ it.		
10279	1085	11	Influences stakeholders and manages relationships effectively. Builds long term strategic relationships. Facilitates and delivers the business outcomes.		
10270	1085	12	Determines the strategic vision and direction. Positively influences key senior stakeholders. Provides an arbitration function.		
10335	1085	13	Identifies key stakeholders and relationships and works with teams to build these. Understands how to work with stakeholders and contributes to improving these relationships.		
10006	1086	11	Facilitates setting of business priorities for change initiatives of high complexity. Leads eliciting of requirements and takes responsibility for investigation and implementation of changes to programme scope.		
10022	1086	13	Responsible for elicitation of requirements. Facilitates setting of business priorities for change initiatives of medium complexity. Manages and implements requests for changes to baseline requirements.		
10035	1086	14	Demonstrates an awareness of tools and techniques for determining requirements. Recognises the objective of the business.		
10183	1087	11	Able to contribute to and inform developments on security properties in technology. Able to identify new technologies and design the use of these in the business context across the organisation. Engages with the broader security community.		
10194	1087	13	Able to advise on developments on security properties in technology. Able to identify new technologies and design the use of these in the business context.		
10520	1088	11	Has experience of, and can help teams adopt, a wide range of user research methods. Can plan user research for services with challenging user needs and complex user journeys. Can advise colleagues on choice and application of research methods to assure best practice.		
10511	1088	12	Can help an organisation adopt a wide range of user research methods. Can lead a community of practice to help an organisation continually assure, improve and innovate their user research.		
10526	1088	13	Understands and has experience of basic user research methods. Understands when to use those methods and how to apply them correctly. Knows how to involve their team in research activities.		
10534	1088	14	Has some understanding of basic user research methods.		
10246	1089	11	Sees the bigger picture by taking groups of services, investigating how to get the best of underlying services.		
10331	1089	12	Not Applicable		
10253	1089	13	Takes inputs and establishes coherent frameworks that work.		
10338	1089	14	Aware of different products and services.		
10271	1090	11	Leverages their data analytics skills to enhance business performance.		
10350	1090	12	Utilises prediction methodologies to derive and maintain a holistic view of key trends and across multiple processes.		
10280	1090	13	Produces the relevant reports in a standard format in an agreed timeframe. Works with key stakeholders to discuss any changes in the reporting processes. Able to add a commentary that provides an interpretation for the data set.		
10323	1090	14	Collates data from depositaries and provides basic reporting.		
10201	1091	11	Identifies, locates and competently fixes faults.		
10234	1091	12	Demonstrates a breadth of understanding of service support.		
10219	1091	13	Able to help fix  faults following  agreed procedures. Carries out agreed infrastructure maintenance tasks.		
10224	1091	13	Able to help fix faults following agreed procedures. Carries out agreed infrastructure maintenance tasks.		
10231	1091	14	Assists in investigation and resolution of infrastructure problems undertaking specific activities under direction of others.		
10517	1092	11	Can help teams understand the ways that digital technology is changing user behaviour, and the challenges and opportunities for design and delivery of government services.		
10512	1092	12	Can align user research activities to help the organisation understand changing user behaviour, and the challenges and opportunities for government policy and service proposition.		
10521	1092	13	Understands the social and technological context for government services. Can align user research activities to help their team understand changing user behaviour.		
10530	1092	14	Is aware of the social and technological context for government services. Knows the importance of understanding users‘ life and work for designing and delivering effective services.		
10184	1093	12	Has strong knowledge of system architectures. Able to understand and articulate the impact of vulnerabilities on existing and future designs, systems and how easy or difficult it will be to exploit these vulnerabilities. Acknowledged as an expert by peers in the broader security industry.		
10195	1093	13	Has knowledge of system architectures. Able to understand and articulate the impact of vulnerabilities on existing and future designs and systems, and is able to articulate a response. Has broad knowledge of a range of systems but may specialise in one.		
10015	1094	11	Is able to influence stakeholders and manage relationships effectively. Builds long term strategic relationships and communicates clearly and regularly with stakeholders.		
10463	1094	11	Is able to influence stakeholders and manage relationships effectively. Builds long-term strategic relationships and communicates clearly and regularly with stakeholders.		
10007	1094	12	Directs the strategic approach for stakeholder relationships, establishing and promoting the meeting of stakeholder objectives. Positively influences key senior stakeholders and provides an arbitration function.		
10023	1094	13	Identifies key stakeholders, tailoring communication to their needs and works with teams to build relationships whilst also meeting user needs. Can take opposing views to reach consensus. Understands how to work with stakeholders and contributes to improving these relationships, using evidence to explain decisions made.		
10458	1094	13	Identifies key stakeholders, tailoring communication to their needs, and works with teams to build relationships whilst also meeting user needs. Can take opposing views to reach consensus. Understands how to work with stakeholders and contributes to improving these relationships, using evidence to explain decisions made.		
10036	1094	14	Understands who the stakeholders are, what evidence is relevant to them, and the importance of managing relationships with them.		
10461	1094	14	Understands who the stakeholders are, what evidence is relevant to them and the importance of managing relationships with them.		
10518	1095	11	Understands organisational goals and challenges. Can align research activities across teams to inform policy and proposition.		
10513	1095	12	Understands organisational strategy and objectives. Can align research activities across the organisation to create strategic insights. Can align wider research activities at departmental and cross-government level.		
10522	1095	13	Understands what problem the team is trying to solve. Can align user research activities to inform decision making and action.		
10531	1095	14	Is aware of the need to align user research with team goals to support decision making and action.		
10091	1096	11	Able to get buy-in from the organisation. Able to work with scant information and to articulate that in abstract terms. Able to come up with a strategy.		
10079	1096	12	Able to develop a long-term vision and objectives. Discerning and disciplined in focusing on what is important and most relevant. Able to develop the capability of others.		
10105	1096	13	Able to get buy-in from the team.		
10272	1097	11	Able to define strategies and policies, providing guidance to others on working in the strategic context. Evaluates current strategies to ensure business requirements are being met and exceeded where possible.		
10482	1097	11	Able to use the most appropriate tools and software for a particular job.		
10332	1097	12	Leads the design and implementation of strategy, directing the evaluation of strategies and policies to ensure business requirements are being met.		
10281	1097	13	Able to work within a strategic context and communicate how activities meet strategic goals. Contributes to the development of strategy and policies.		
10462	1097	14	Aware of the strategic context of their work and why it is important. Supports strategic planning in an administrative capacity.		
10499	1097	15	N/A		
10159	1098	12	Leads the design and implementation of strategy, directing the evaluation of strategies and policies to ensure business requirements are being met.		
10169	1098	13	Works within a strategic context and communicates how activities meet strategic goals.		
10179	1098	14	Aware of the strategic context of their work and why it is important. Supports strategic planning in an administrative capacity.		
10119	1099	11	Capable of defining and challenging strategies, patterns, standards, policies, roadmaps and vision statements. Capable of providing proactive advice and guidance for their definition across the organisation.		
10115	1099	12	Capable of shaping and influencing government strategy. Able to own and be responsible for setting strategies, patterns, standards, policies, roadmaps and vision statements.		
10124	1099	13	Capable of applying strategy, using patterns, standards, policies, roadmaps and vision statements. Able to challenge them and provide guidance.		
10131	1099	14	Aware of the purpose and application of strategy, standards, patterns, policies, roadmaps and vision statements.		
10136	1100	11	Architects the design of network services within a team requiring moderate to complex service integration.		
10146	1100	14	Familiar with the principles of integration and how these should be incorporated within the design of solutions.		
10142	1101	11	Designs systems characterised by medium levels of risk, impact and business or technical complexity. Selects appropriate design standards, methods and tools  and ensures they are applied effectively. Reviews the systems designs of others to ensure selection of appropriate technology, efficient use of resources and integration of multiple systems and technology.		
10216	1101	11	Designs systems characterised by medium levels of risk, impact and business or technical complexity. Selects appropriate design standards, methods and tools and ensures they are applied effectively. Reviews the systems designs of others to ensure selection of appropriate technology, efficient use of resources, and integration of multiple systems and technology.		
10235	1101	11	Designs systems characterised by medium levels of risk, impact and business or technical complexity. Selects appropriate design standards, methods and tools and ensures they are applied effectively. Reviews the systems designs of others to ensure selection of appropriate technology, efficient use of resources and integration of multiple systems and technology.		
10137	1101	12	Designs systems characterised by high levels of risk, impact and business or technical complexity. Controls system design practice within an enterprise or industry architecture. Influences industry based models for the development of new technology applications. Develops effective implementation and procurement strategies, consistent with business needs. Ensures adherence to relevant technical strategies, policies, standards and practices.		
10147	1101	13	Translates logical designs into physical designs. Produces detailed designs and documents all work using required standards, methods and tools, including prototyping tools where appropriate. Designs systems characterised by managed levels of risk, manageable business and technical complexity and meaningful impact. Works with well-understood technology and identifies appropriate patterns.		
10220	1101	13	Translates logical designs into physical designs. Produces  detailed designs and documents all work using required  standards, methods and tools, including prototyping tools where  appropriate. Designs systems characterised by managed levels of risk, manageable business and technical complexity and meaningful impact. Works with well-understood technology and identifies appropriate patterns.		
10225	1101	14	Assists as part of a team on design of components of larger systems.		
10202	1102	11	Defines the integration build. Able to coordinate build activities across systems and understands how to undertake and support integration testing activities.		
10209	1102	11	Defines the integration build. Able to coordinate build activities across systems, and understands how to undertake and support integration testing activities.		
10238	1102	11	Defines the integration build. Able to co-ordinate build activities across systems and understands how to undertake and support integration testing activities.		
10236	1102	12	Establishes standards and procedures across a service lifecycle including the development lifecycle and ensures that practitioners adhere to this. Manages resources to ensure that the systems integration function works effectively.		
10221	1102	13	Able to build and test simple interfaces between systems, or can work on more complex integration as part of a wider team.		
10226	1102	14	Aware of how to integrate systems and the challenges of designing, building and testing interfaces between systems.		
10052	1103	11	Able to identify problems or issues in the team dynamic and rectify them. Able to pull out issues through Agile health-checks with the team and provoke the right responses. Able to engage in varying types of feedback choosing the right type at the appropriate time and ensuring the discussion and decision sticks. Able to accelerate the team development cycle.		
10048	1103	12	Changes organisational structures to fixable, sustainable, good designs. Leads on the strategy for the whole organisation, joining up business needs with innovative analysis. Able to make and justify decisions characterised by high levels of risk, impact and complexity. Builds consensus between organisations (private or public) or highly independent and diverse stakeholders. Solves and unblocks issues between teams or departments at the highest level. Understands the psychology of the team and has strong mediation skills. Able to coach the organisation on team dynamics and conflict resolution.		
10060	1103	13	Able to bring people together to form a motivated team. Able to empower delivery teams. Able to help create the right environment for a team to work in. Recognises and deals with issues. Able to facilitate the best team makeup depending on the situation.		
10069	1103	14	Has an awareness of the importance of team dynamics, collaboration and empowering delivery teams. Understands the importance of feedback.		
10361	1104	11	Has a good working knowledge of different tools and techniques and can train others. Able to advise others on testing techniques and frameworks. Able to research, plan and train others within the team.		
10373	1104	12	Able to act as an advisor with a strategic understanding of IT trends and technologies. Able to write and publish papers. Is knowledgeable of emerging tools and techniques. Can set up frameworks based on the needs of the team. Able to work across different tools and software languages.		
10366	1104	13	Able to use a range of technologies for testing. Able to use one type of tool to write test scripts. May use technologies to design and execute test cases under guidance.		
10369	1104	14	Aware of a range of tools and techniques for test automation. Likely to have some demonstrable technical attributes.		
10306	1105	11	Able to draft and maintain procedures and documentation. Able to set standards for definition, security and integrity of objects and ensures conformance to these standards.		
10291	1105	12	Understands the direction for future technologies. Delivers a model to support and maintain those future technologies and any databases that co-exist in the current environment.		
10311	1105	13	Able to use management system software and tools. Has knowledge of logical schemata to investigate problems, collect performance statistics and create reports. Able to carry out routine configuration, installation and reconfiguration of database and related products. Optimises performance and forecasts resource needs.		
10299	1105	14	Assists in technical support activities. Carries out agreed / routine maintenance and administration tasks.		
10324	1105	14	Assists in technical support activities. Carries out agreed and routine maintenance and administration tasks.		
10256	1106	11	Has deep understanding of the technical concepts required in their role and understands how these fit into the wider technical landscape.		
10514	1106	11	Has knowledge of the technologies used to build and operate digital services. Can collaborate closely with colleagues in different digital disciplines.		
10247	1106	12	Able to anticipate and advise on future technology changes that present opportunities for the product or programme.		
10261	1106	13	Understands core technical concepts related to their role and is able to apply them with guidance.		
10527	1106	13	Has some knowledge of current technologies used to build and operate digital services. Understands the different technical roles in a digital team.		
10266	1106	14	Aware of the subject matter and has a high level understanding of what it involves.		
10532	1106	14	Has some knowledge of the technologies and roles within a digital team.		
10384	1107	11	Has a deep understanding of the technical concepts required in their role, and understands how these fit into the wider technical landscape.		
10381	1107	12	Able to predict and advise on future technology changes that present opportunities for the product or programme.		
10388	1107	13	Understands core technical concepts related to their role and is able to apply them with guidance.		
10359	1108	11	Able to think outside the box, ask the right questions and critically evaluate and communicate findings to a larger team. Leads investigative work into problems and opportunities in existing processes, driving the collection of information and creation of recommendations for improvements. Can absorb large amounts of conflicting information and use it to determine solutions.		
10374	1108	11	Able to think outside the box, ask the right questions, and can critically evaluate and communicate findings to a larger team. Leads investigative work into problems and opportunities in existing processes, driving the collection of information and creation of recommendations for improvements. Can absorb large amounts of conflicting information and use it to determine solutions.		
10363	1108	12	Able to analyse and collect of information and evidence, identify  problems and opportunities and ensure recommendations fit with strategic business objectives. Able to communicate recommendations persuasively to key stakeholders and identify the simplest approach from a variety of approaches. Able to solve complex problems applying logical reasoning.		
10368	1108	13	Able to identify simple patterns and trends. Investigates problems and opportunities in existing processes and contributes to recommending solutions to these. Works with stakeholders to identify objectives and potential benefits available.		
10371	1108	14	Contributes to improving delivery and understands the importance of evidence-based design and analysis.		
10248	1109	11	Manages planning of system and/or acceptance tests, coordinating both functional and non-functional specifications. Able to provide authoritative advice and guidance on test planning, can identify process improvements and contribute to the definition of best practice.		
10307	1109	11	Manages planning of system and / or acceptance tests, coordinating both functional and non-functional specifications. Able to provide authoritative advice and guidance on test planning and can identify the process improvements and contribute to definition of best practice.		
10318	1109	11	Manages planning of system or acceptance tests, coordinating both functional and non-functional specifications. Able to provide authoritative advice and guidance on test planning and can identify the process improvements and contribute to definition of best practice.		
10292	1109	12	Holds responsibility for managing testing activities within development or integration activities. Manages risks and can take preventative action when risks become unacceptable. Manages customer relations.		
10257	1109	13	Able to review requirements, specifications and define test conditions. Able to identify issues and risks associated with work whilst being able to analyse and report test activities and results.		
10312	1109	13	Able to review requirements, specifications and defines test conditions. Able to identify issues and risks associated with work whilst being able to analyse and report test activities and results.		
10262	1109	14	Correctly executes test scripts under supervision. Understands the role of testing and how it works.		
10013	1110	11	Able to define test condition requirements. Works according to test plans to design, interpret and execute them. Highlights reports and risks and is able to analyse results based on tests and activities.		
10029	1110	13	Able to review requirements, specifications and define test conditions. Able to identify issues and risks associated with work whilst being able to analyse and report test activities and results.		
10042	1110	14	Executes test scripts under supervision. Understands the role of testing and how it works in systems development.		
10469	1111	11	Proficient, fast and fluid in the use of software. Knows shortcuts and tricks as well as what not to do. Is responsible for choosing the technology and outputs, for example, paper size, weight.		
10480	1111	11	Proficient, fast and fluid in the use of software. Knows shortcuts and tricks as well as what not to do. Is responsible for choosing the technology and outputs, for example paper size, weight.		
10475	1111	12	Able to create tools for other designers to use and can teach others. Works with tools that have an impact on other designers.		
10494	1111	13	Able to use the most appropriate tools and software for a particular job.		
10138	1112	11	Able to dissect a problem to its component parts to identify and diagnose root causes. Able to troubleshoot and identify problems across different technology capabilities.		
10249	1112	12	Has lateral thinking capability to dissect a problem to its component parts to identify and diagnose root causes. Able to troubleshoot and identify problems across different technology capabilities including compute, storage, networking, physical infrastructure, software, commercial off the shelf (COTS) and open source.		
